"Guid","AC_Def","DC_Def","Attr","Hidden","Name"
"06cadf0e-64ed-448a-8927-ce7bf90eb35d",,,"1","True","Processor performance increase threshold"
"06cadf0e-64ed-448a-8927-ce7bf90eb35e",,,"1","True","Processor performance increase threshold for Processor Power Efficiency Class 1"
"0cc5b647-c1df-4637-891a-dec35c318583",,,"1","True","Processor performance core parking min cores"
"0cc5b647-c1df-4637-891a-dec35c318584",,,"1","True","Processor performance core parking min cores for Processor Power Efficiency Class 1"
"12a0ab44-fe28-4fa9-b3bd-4b64f44960a6",,,"1","True","Processor performance decrease threshold"
"12a0ab44-fe28-4fa9-b3bd-4b64f44960a7",,,"1","True","Processor performance decrease threshold for Processor Power Efficiency Class 1"
"12fd031f-53d2-4bf4-ac6d-c699fc9538c7",,,"1","True","Hybrid containment zone important utility percentage"
"1a98ad09-af22-42ca-8e61-f0a5802c270a",,,"1","True","Processor Restriction Count"
"1facfc65-a930-4bc5-9f38-504ec097bbc0",,,"1","True","Initial performance for Processor Power Efficiency Class 1 when unparked"
"2430ab6f-a520-44a2-9601-f7f23b5134b1",,,"1","True","Processor performance core parking concurrency threshold"
"2ddd5a84-5a71-437e-912a-db0b8c788732",,,"1","True","Processor performance core parking increase time"
"36687f9e-e3a5-4dbf-b1dc-15eb381c6863",,,"1","True","Processor energy performance preference policy"
"36687f9e-e3a5-4dbf-b1dc-15eb381c6864",,,"1","True","Processor energy performance preference policy for Processor Power Efficiency Class 1"
"36687f9e-e3a5-4dbf-b1dc-15eb381c6865",,,"1","True","Processor energy performance preference policy for Processor Power Efficiency Class 2"
"3b04d4fd-1cc7-4f23-ab1c-d1337819c4bb",,,"1","True","Allow Throttle States"
"4009efa7-e72d-4cba-9edf-91084ea8cbc3",,,"1","True","Processor performance increase time for Processor Power Efficiency Class 1"
"40fbefc7-2e9d-4d25-a185-0cfd8574bac6",,,"1","True","Processor performance decrease policy"
"40fbefc7-2e9d-4d25-a185-0cfd8574bac7",,,"1","True","Processor performance decrease policy for Processor Power Efficiency Class 1"
